Quote,Author
"Try to be the master over greed, sloth, lechery, and rage.",Leo Tolstoy
"Abstention cannot be achieved at once, but it should be a process, and a constant effort. The life of a person who makes this effort is directed not to the calming of his passions but to the mastery of them.",Leo Tolstoy
Time and persistence help you in these efforts.,Leo Tolstoy
"The truth is not only a joy, it is an instrument in conflict much more powerful than violence.",Leo Tolstoy
"If you have parted from a person, and he was not satisfied with you, or did not agree with you when you were right, he is not to blame, but probably it is you who are to blame, because you were not kind enough with this man.",Leo Tolstoy
"To repent means to show your vices and weaknesses to all. Repentance means taking responsibility for all of the bad things you have done, purifying your soul, and preparing to accept goodness.",Leo Tolstoy
"When a kind man does not accept his mistakes and tries always to justify himself, he becomes an unkind man.",Leo Tolstoy
"Do you have qualities which can be criticized and improved? Try to admit that this is so, and to find these qualities out by yourself.",Leo Tolstoy
A man will always understand his sins as well as his limits in this limitless world.,Leo Tolstoy
"Science can be divided into an infinite number of disciplines, and the amount of knowledge that can be pursued in each discipline is limitless. The most critical piece of knowledge, then, is the knowledge of what is essential to learn and what isn’t.",Leo Tolstoy
Beware of false knowledge. All evil comes from it.,Leo Tolstoy
"Knowledge is limitless. Therefore, there is a minuscule difference between those who know a lot and those who know very little.",Leo Tolstoy
"The only real life is one lived close to God. This does not happen by itself; you must make an effort to make this happen, and this effort will bring you joy.",Leo Tolstoy
"Spiritual effort and the joy that comes from understanding life go hand in hand like physical exertion and rest. Without physical exertion, there is no joy in rest; without spiritual effort, there can be no joyful understanding of life.",Leo Tolstoy
"When I die, only one of two things can happen: either this essence which I understand as myself will transform into a different being, or I will stop being a separate individual and become a part of God. Either possibility is good.",Leo Tolstoy
Death is the destruction of this body with which I understand the world in this life. It is the destruction of the glass through which I look at the world. And we do not know whether this glass will be replaced by another; or whether the essence which looks through the window will integrate with the world. We cannot know this.,Leo Tolstoy
"You should live your life so that you are not afraid of death, and at the same time do not wish to die.",Leo Tolstoy
Life should and can be limitless joy.,Leo Tolstoy
"Life in this world is not a vale of tears, not a trial, but a thing that surpasses our imagination. Life could be limitless joy, if we would only take it for what it is, in the way it is given to us.",Leo Tolstoy
"A person’s unfriendly attitude to other people makes life unhappy, both for that person and for those who surround him. A friendly mood and loving attitude are as an oil which lubricates the wheels of life, making them move easily and smoothly.",Leo Tolstoy
A truly wise man is always joyful.,Leo Tolstoy
"The best way to live joyfully is to believe that life was given for joy. When joy disappears, look for your mistake.",Leo Tolstoy
"It is difficult to avoid working in life without either sinning, committing violence, being a party to violence, or by flattering and pleasing the agents of violence.",Leo Tolstoy
You will find that people unwilling to work will either take advantage of others or be humiliated by them.,Leo Tolstoy
"People involve themselves in countless activities which they consider to be important, but they forget about one activity which is more important and necessary than any other, and which includes all other things: the improvement of their soul.",Leo Tolstoy
"“Be perfect, as your Father in heaven is perfect.” This means that you should try to find the presence of the Holy Spirit in your soul.",Leo Tolstoy
"To improve ourselves, to move toward that goal, perfection, that puts no less a demand on us for being unattainable, requires solitude, removal from the concerns of everyday life. And yet constant solitude renders self-improvement impossible, if not pointless. A balance must be struck between meditating in solitude and then applying this to your everyday life.",Leo Tolstoy
"To repay evil with goodness is easier, wiser, and more natural than to repay evil with evil.",Leo Tolstoy
Those who take joy in repaying an evil with goodness will always try to experience this joy again.,Leo Tolstoy
"People think that if they call mass murder “war,” then mass murder will stop being a murder, a crime.",Leo Tolstoy
"And because lawlessness is increased, most people’s love will grow cold.",Leo Tolstoy
"Murder is always a crime, no matter whom, and how it is justified.",Leo Tolstoy
Love of goodness and faith in immortality are inseparable.,Leo Tolstoy
"We live in this world like a child who enters a room where a clever person is speaking. The child did not hear the beginning of the speech, and he leaves before the end; and there are certain things which he hears but does not understand. In the same way, the great speech of God started many, many centuries before we started learning, and it will continue for many centuries after we turn to dust. We hear only part of it, and we do not understand the biggest part of what we hear, but nevertheless, a bit vaguely, we understand something great, something important.",Leo Tolstoy
"If you truly love goodness (God), then you cannot have doubts in your immortality.",Leo Tolstoy
The holy spirit which exists in people is liberated more and more. This will change our existing world order.,Leo Tolstoy
Real science shows us how to apply our religious faith to our outer Uves. Art shows us how to apply it to our feelings.,Leo Tolstoy
"The more we understand our divine nature, the more its rules should be fulfilled in our actions.",Leo Tolstoy
"Everything is connected more closely in the spiritual world than in the material world. Every lie brings multiple lies, every cruelty brings more cruelty.",Leo Tolstoy
"Be attentive to the appearance of evil. There is an inner voice in your soul which always tells you about approaching evil You feel unpleasant, you feel ashamed. Believe in this voice; stop and seek to improve yourself, and then you will defeat evil.",Leo Tolstoy
"At a certain level of self-awareness, a person understands something supernatural in himself.",Leo Tolstoy
God exists only for those who look for Him. Start looking: you will find Him in you and yourself in Him.,Leo Tolstoy
"It is surprising that I could not see a very simple truth: behind and above this world and our lives, there is someone who knows why this world exists and why we exist in this world. And our lives are as bubbles in boiling water, which appear, rise to the surface, pop, and disappear.",Leo Tolstoy
"Just because a person does not understand God, he has no right to draw the conclusion that God does not exist.",Leo Tolstoy
"We understand the divine, spiritual beginning of our life both with our intellect and with our love.",Leo Tolstoy
"A man is wise who does three things: first, he does by himself those things which he advises others to do; secondly, he does not do anything that contravenes the truth; and thirdly, he is patient with the weaknesses of those who surround him.",Leo Tolstoy
Investigate everything: believe only in those things which exist in accordance with intellect.,Leo Tolstoy
"A clever person cannot be evil. A kind person is always clever. Improve your kindness by exercising your intellect, and improve your intellect by exercising your kindness and love.",Leo Tolstoy
We cannot hope to obtain any sort of perfection in a society which is divided into two parts: rich people who rule the world and poor people who obey their orders.,Leo Tolstoy
It is worse to be an oppressive master than an obedient slave. Excessive wealth is worse than poverty.,Leo Tolstoy
"The consequences of our notions cannot be known to us, because they ripple outward limitlessly in a limitless world.",Leo Tolstoy
Our most important actions are those consequences which we will not see.,Leo Tolstoy
"If you can see all of the consequences of your actions, then your actions are of no use.",Leo Tolstoy
"To accept the dignity of another person is an axiom. It has nothing to do with subduing, supporting, or giving charity to other people.",Leo Tolstoy
The smallest detail can benefit the strengthening of character. Do not say that small details are not important; only a person with high morals can see their importance.,Leo Tolstoy
"Some of the most religious people in Russia have an interesting habit: they make a low bow to persons to whom they are introduced for the first time. They say they do this to acknowledge the divine spirit that every person has within himself. This is not a widespread tradition, but its foundations are very deep.",Leo Tolstoy
"A person should know that he performs true charity not in front of other persons, but before the eternal law of God.",Leo Tolstoy
Christianity is the study of the divine beginning in a person.,Leo Tolstoy
"Without the clear understanding of the meaning of one’s life, without faith, a person can at any minute deny good and start worshiping evil.",Leo Tolstoy
A person cannot have complete understanding of the meaning of life. A person can only know its direction.,Leo Tolstoy
"The essence of all religious teachings is love. What is special in Christianity is teachings about love, the clear and exact statement of the major condition of love: nonresistance to evil and violence.",Leo Tolstoy
"If you want to be quiet and strong, work and improve your faith.",Leo Tolstoy
"What is important is not the quantity of your knowledge, but its quality. You can know many things without knowing that which is most important.",Leo Tolstoy
Ignorance in itself is neither shameful nor harmful. Nobody can know everything. But pretending that you know what you actually do not know is both shameful and harmful.,Leo Tolstoy
"Vague and complex terminology was created by false scholars. Real, truthful knowledge does not need vague terms.",Leo Tolstoy
A man who does not understand the benefit of suffering does not live a clever and true life.,Leo Tolstoy
"Without suffering, spiritual growth cannot happen. Suffering often accompanies death, but suffering is also a useful, beneficial condition of life. It is said that God loves those who experience suffering.",Leo Tolstoy
"A person who lives a spiritual life cannot help but see that suffering brings him closer to God. Seen in this light, suffering loses its bitter side and becomes bliss.",Leo Tolstoy
"For a person who leads a spiritual life, self-sacrifice brings a bliss that far transcends the pleasure of a person who lives by the self-indulgent satisfaction of his animal passions.",Leo Tolstoy
"Just as fire blows out candles, good deeds for the benefit of others destroy a selfish life.",Leo Tolstoy
"The dark spot in the sunlight that falls on us is the shadow created by our own personalities. We live for ourselves only when we live for others. It may seem strange, but try it, and you will see it from your own experience.",Leo Tolstoy
"In the future, the order of the social life of the Christian world will be changed by the replacement of violence and its fears with love and blessing.",Leo Tolstoy
"It is a mistake to think that there are times when you can safely address a person without love. You can work with objects without love—cutting wood, baking bricks, making iron—but you cannot work with people without love. In the same way as you cannot work with bees without being cautious, you cannot work with people without being mindful of their humanity. It is the quality of people as it is of bees: if you are not very cautious with them, then you harm both yourself and them. It cannot be otherwise, because mutual love is the major law of our existence.",Leo Tolstoy
You should live so that it is possible to create the kingdom of love on earth. You should live a life based not on violence but on love.,Leo Tolstoy
The greatest knowledge is self-knowledge. He who understands himself will understand God.,Leo Tolstoy
"A person can transform his personality, his inner self, from the domain of suffering and subduing into the domain which is always steady and joyful, that is, the domain of understanding his spiritual and divine essence.",Leo Tolstoy
Real goodness is always simple.,Leo Tolstoy
Simplicity is so attractive and so profitable that it is strange that so few people lead truly simple lives.,Leo Tolstoy
"Every great thing is done in a quiet, humble, simple way; to plow the land, to build houses, to breed cattle, even to think—you cannot do such things when there are thunder and lightning around you. Great and true things are always simple and humble.",Leo Tolstoy
No one looks less simple than those people who artificially strive to seem so. Artificial simplicity is the most unpleasant of all artificial things.,Leo Tolstoy
In any struggle true bravery lies within those who know that God is their ally.,Leo Tolstoy
"Whatever happens, do not lose faith. Nothing bad can happen to you as a human being.",Leo Tolstoy
"Only a person who renounces his personality becomes truly powerful. As soon as one denies his personality, it is not he but God who acts through him.",Leo Tolstoy
"Once upon a time, a Roman empress lost her precious jewelry. It was announced across the empire that whoever found her lost stones before thirty days would receive a big reward, but any who returned the jewelry after thirty days would be executed. Samuel, a Jewish rabbi, found the precious stones, but he returned them after thirty days had passed. “Have you been abroad?” the Roman empress asked him. “No, I was at home.” “Maybe you did not know what was proclaimed?” “No, I knew,” said Samuel. “Then why did you not return these things before the expiry of the thirty days? Now you have to be executed.” “I wanted to show you that I returned your lost jewelry, not because of fear of your punishment, but because of fear of God.”",Leo Tolstoy
"A person can understand himself as a material or a spiritual being. When you understand yourself as a spiritual being, then you are free.",Leo Tolstoy
"What is “love of God,” if it is not the effort to add part of yourself to the higher creative flow of energy in this world? Divine force exists in everything, but the greatest manifestation of it in this world is in humanity, and in order to put it to work, one must understand it and accept it.",Leo Tolstoy
"If a person does not believe himself capable of doing the best things in the world, then he starts to create the worst things.",Leo Tolstoy
,Leo Tolstoy
The understanding of the existence of God is accessible to everybody; the complete understanding of the essence of God is not accessible to any person.,Leo Tolstoy
"Live in God, live together with God, by understanding Him in you, and do not try to define Him with words.",Leo Tolstoy
"A bad mood is often the reason for blaming others; but very often blaming others causes bad feelings in us: the more we blame others, the worse we feel.",Leo Tolstoy
"One of our most common and widespread prejudices is that every person has a fixed, special characteristic, that there are kind people and evil, clever people and stupid people, and cold or hot people. But people are not like this; we can say about a person only that he is more often kind than evil, more often clever than stupid, more often cold than hot. We always divide people like this, but it is no less wrong.",Leo Tolstoy
"If there is animosity between two people, both are to blame. Any number you multiply by zero, however big, will equal zero. If there is animosity, then, it is the animosity of two people toward each other, and it exists in both of them.",Leo Tolstoy
"If you are living with another person, make an agreement that as soon as either of you starts to blame the other, you will end the argument.",Leo Tolstoy
"Work is the necessary condition of happiness. First, favorite and free work; secondly, the physical work which arouses your appetite and afterward gives you tranquil and sound sleep.",Leo Tolstoy
"Manual labor does not exclude intellectual activity, but improves its quality and even helps it.",Leo Tolstoy
"Work is necessary. If you want a good disposition of your spirit, work until you become tired. But not too much. Not until you become exhausted. A good spiritual disposition can be destroyed by excessive work as well as by idleness.",Leo Tolstoy
A person can fulfill his purpose in life equally as well in illness as in health.,Leo Tolstoy
"If we meditate upon the existence of life after death, then all illnesses would seem to be taking us closer to the movement from one life to another, a transfer more desirable than undesirable. During these pains we can understand and explain for ourselves what will happen to us, and prepare for the new state of our next existence.",Leo Tolstoy
"Usually people think that it is possible to serve God and humanity only when you are healthy. This is not true. Very often it is to the contrary. Christ served God and all mankind when he suffered on the cross, and even then he forgave those who killed him. Every person can do likewise. You cannot say which state is better, a healthy or ill state, in the service of God and humankind.",Leo Tolstoy
"For yourself, and for yourself only, it is necessary to have health and power. But to serve God it is not necessary, and sometimes even the opposite is true.",Leo Tolstoy
"Very often, when I have dealt with terminally ill people, I have learned that the most important thing is not hiding the approaching death from the patient, but on the contrary, explaining to him his own divine, spiritual nature, which grows in him and which cannot be destroyed by death.",Leo Tolstoy
"Illnesses almost always destroy one’s physical power, and they release the power of one’s soul. For a person who concentrates his consciousness in the spiritual domain, illnesses do not diminish his goodness, but on the contrary, they increase it.",Leo Tolstoy
It seems that it is impossible to live without discovering the purpose of your life. And the first thing which a person should do is to understand the meaning of life. But the majority of people who consider themselves to be educated are proud that they have reached such a great height that they cease to care about the meaning of existence.,Leo Tolstoy
The real purpose of our existence is to understand this limitless life existing in this world.,Leo Tolstoy
"A person may not know the purpose of his life, but he should knowhowto live.",Leo Tolstoy
"A worker at a big plant may not necessarily know the purpose of his labor, but if he is a good worker, he should know how to do well what he should do.",Leo Tolstoy
"Every living being has sensory organs which reveal to it its place in the world. For a human, the primary sense is the intellect.",Leo Tolstoy
"If you do not know your place in the world and the meaning of your life, you should know that there is something to blame; and it is not the social system, or your intellect, but the way in which you directed your intellect.",Leo Tolstoy
He who sees his life as a process of spiritual perfection does not fear external events.,Leo Tolstoy
,Leo Tolstoy
"People very often do not accept the truth, because they do not like the form in which the truth is presented to them.",Leo Tolstoy
"One should avoid disputes; when afire becomes too big, it is difficult to quell it.",Leo Tolstoy
"If you know the truth, or if you think that you know the truth, try to pass it on to the others, as simply as you can, along with the feeling of love for those persons to whom you pass it.",Leo Tolstoy
The life of Jesus Christ is very important for us as an example of a life of one who could not see the fruits of his work during his lifetime.,Leo Tolstoy
"Every person has only one purpose: to find perfection in goodness. Therefore, only that knowledge is necessary which leads us to this.",Leo Tolstoy
"Every thought which is expressed by words is a force, and this force is limitless.",Leo Tolstoy
"Truth expressed in words is the greatest force there is in the lives of people. We do not understand this force completely, because its consequences are never seen at once.",Leo Tolstoy
"Use good thoughts of wise people; if you cannot create similar kind and wise thoughts, then at least do not distribute the false thoughts expressed by you and by others.",Leo Tolstoy
"Religious teaching, that is, the explanation of the purpose and meaning of life, should be the basis of any education.",Leo Tolstoy
"People think that it is no crime to lie to children, and that to lie to children is not really very wrong, but even sometimes necessary. But it is clear that with children you should be especially careful and honest about what you say to them.",Leo Tolstoy
"Do not say to a child whom you teach that there is a final truth, if you do not believe in something completely, or if you have some doubts. To do such a thing is a great crime.",Leo Tolstoy
Compassion for animals is so natural to us that we can become insensitive to their suffering and death only through traditions or hypnosis.,Leo Tolstoy
,Leo Tolstoy
"A person who tries to find good outside himself, either in this life or in the one to come, is making a mistake.",Leo Tolstoy
Nothing can give a man strength when he is looking for salvation other than his own effort.,Leo Tolstoy
There is nothing more attractive than humbleness and kindness. But you should not seek kindness which advertises itself.,Leo Tolstoy
"A wise man was told that he was considered to be a bad person. He answered, “It is good that they do not know everything about me, because otherwise they could say worse things about me.”",Leo Tolstoy
"Try to avoid making judgments about yourself, especially by comparing yourself with others. Compare yourself only with perfection.",Leo Tolstoy
Life is constant change; it ought to consist of weakening the material and increasing the spiritual side of our existence.,Leo Tolstoy
The kindness of a dove is not virtue. A dove is not more virtuous than an eagle. Virtue begins only when there is an effort.,Leo Tolstoy
"We cannot stop on the way to self-perfection. As soon as you notice that you have a bigger interest in the outer world than in yourself, then you should know that the world moves behind you.",Leo Tolstoy
"Only spiritual things exist in reality, and the material world is only an illusion.",Leo Tolstoy
"If you want to save your soul, forget about your comfort.",Leo Tolstoy
"Truly, only those things which are spiritual are real. Those things which can be seen and felt are only an illusion.",Leo Tolstoy
"It seems to us that the most clear, understandable, and obviously existing things are not all there is. There is something else: unclear, unknown, contradictory, and nonexistent.",Leo Tolstoy
"The moving force of all perfection, both for individuals and for whole nations, is not the understanding of what exists in this world, but the understanding of what can be achieved.",Leo Tolstoy
"The weaker my hands, the more effort I should make to achieve perfection.",Leo Tolstoy
“You must be as perfect as your father in heaven.”,Leo Tolstoy
The perfection of the highest kindness is the goal for which all mankind strives. Christian learning about perfection is a tool for all mankind.,Leo Tolstoy
"A person who sails far from the shore can see some shore-lines or cliffs. But when sailors go really far away from the shore, they can be guided only by the stars high up in the sky, and the compass which indicates their direction, and both these things are given to us.",Leo Tolstoy
"No matter how low a person may fall, he will always be able to see that perfection toward which he should move.",Leo Tolstoy
"Life is the constant approach to death; therefore, life can be bliss only when death does not seem to be an evil.",Leo Tolstoy
"Remember, you do not live in the world, you only pass through it.",Leo Tolstoy
Every person should decide questions of life and death for himself.,Leo Tolstoy
,Leo Tolstoy
"The intellect questions, how and why? The dove does not ask, it says: I am love. It gives satisfaction without asking questions.",Leo Tolstoy
Fear nobody and nothing. That which is the most precious matter in you can be damaged by no one and by nothing.,Leo Tolstoy
"Truth is not virtue, but the lack of vices.",Leo Tolstoy
"The most common and the most widely used deceit is the wish to deceive not other people, but yourself. And this kind of life is the most harmful.",Leo Tolstoy
One of the most common mistakes is to think that you can live without truth. The inner and outer consequences of even the smallest lies are usually more harmful than those small unpleasant things which result from telling the truth directly.,Leo Tolstoy
Humanity has never lived and cannot live without religion.,Leo Tolstoy
Religion is the necessity and prime condition of the life of an intellectual person.,Leo Tolstoy
"The stronger the religious feeling is, the better one understands what is and what should be the guide of all one’s actions.",Leo Tolstoy
"People often say that religion loses its power amidst humanity. This is not true, and this cannot be true. This happens because the people who think so observe only a small group of people, and there are always certain people who do not have religious feelings.",Leo Tolstoy
"If a person has problems, there can he only one root cause: lack of faith. The same is true within human societies as a whole.",Leo Tolstoy
"The greatest joy, according to the works of Francis Assisi, is that you can endure everything, you can even suffer slander and physical pain, and at the end you are able to feel no animosity toward these sufferings, but you feel joy, because you have faith; such joy cannot be destroyed, either by evil people or by your own suffering.",Leo Tolstoy
"When they blame you and scold you and discuss you, then you should rejoice; when they praise you and admire you, then you should be sad.",Leo Tolstoy
Libel and a false reputation which you can destroy is the best school of goodness.,Leo Tolstoy
"The blaming and criticism of other people is bad. But at the same time it is understandable, and it is valuable as the only test of your love for God and your neighbor.",Leo Tolstoy
"One cannot say that the understanding of the divine essence of your soul gives you power, for this understanding raises you to that level which transcends any notions of force or weakness and therefore of power.",Leo Tolstoy
"Who can harm you, who can be more powerful than you, if you are united with God? And can do this.",Leo Tolstoy
The foundation of all faiths is the same.,Leo Tolstoy
"It only seems that people are busy with trade, with making agreements, negotiations and wars, science and the arts. There is in fact only one thing which people do; this is to search for the understanding of the moral law by which they live. And this understanding is not only the most important but the only real concern for all humankind.",Leo Tolstoy
"When you clash with other people, remember the law of reciprocity. You should do to others those things which you want done to you. This should become your way of life.",Leo Tolstoy
"For a person, for an animal, indeed for any living being, there is neither logic nor meaning in the word “freedom” because all our lives are limited by many constraints. And yet if a person understands himself as a spiritual being, he cannot even speak about not being free: the idea of not being free cannot be applied to the notions of intellect, conscience, and love.",Leo Tolstoy
"Remember that your understanding of your inner self holds the meaning of your life, and it makes you free if you do not force it to serve your flesh. The human soul which is enlightened by understanding and freed from passions, and lit with the divine light, stands on a firm foundation.",Leo Tolstoy
People who deny freedom remind me of blind people who deny colors. They do not know the nature of freedom.,Leo Tolstoy
"In order to live in goodness, try doing it.",Leo Tolstoy
"You should celebrate each new day with a good action, a good deed. This is the best way to start a new day.",Leo Tolstoy
"When you do a good deed, be grateful that you have had the chance to do it.",Leo Tolstoy
"If you cannot teach yourself to seek possibilities for doing good and to do good at every possible occasion, then at least do not miss a chance to do good.",Leo Tolstoy
"The greatest changes in the world are made slowly and gradually, not with eruptions and revolutions.",Leo Tolstoy
The same things happen in one’s spiritual life.,Leo Tolstoy
All really great things are happening in slow and inconspicuous ways.,Leo Tolstoy
"There is nothing more harmful for your inner perfection than the understanding that you are doing well. The way to happiness, the way to real moral improvement, moves so invisibly, so inconspicuously, that a person can see his successes only after great, lengthy periods of time.",Leo Tolstoy
"If you think that you are moving toward perfection and you notice this, then you should know that you are mistaken, that you have stopped and are moving backward.",Leo Tolstoy
"We should be satisfied with the small things in life. The less we need, the less trouble we can have.",Leo Tolstoy
"Nature needs small things, but your imagination needs much.",Leo Tolstoy
"The growth of your desires is not the way to perfection, as many people think. To the contrary, the more a person limits himself, the better he can understand his human dignity, and the more free, the more brave he becomes, and most importantly, the more capable of serving God and other people.",Leo Tolstoy
Love is one of the manifestations of God in man.,Leo Tolstoy
The purpose of life is to express love in all its manifestations.,Leo Tolstoy
"In order to be happy, you should love—love with self-sacrifice, love all and everything, and spread a network of love everywhere. No matter who gets into this net, catch them all and fill them with love.",Leo Tolstoy
"Everyone can recall a moment, universal to all, perhaps from early childhood, when you wanted to love everyone and everything—your father, your mother, your brothers, evil people, a dog, a cat, grass—and you wanted everyone to feel good, everyone to feel happy; and even more, you wanted to do something special so that everyone would be happy, even to sacrifice yourself, to give your life so that everyone should feel happy and joyful. This feeling is the feeling of love, and it must be returned to, for it is the life of every person.",Leo Tolstoy
Anything you do should he filled with love.,Leo Tolstoy
There is no worse harm for a person with a strong intellect than the temptation to make witty remarks that blame and mock his neighbors.,Leo Tolstoy
"Making jokes and blaming and mocking others is like covering a dead body with a nice sauce and presenting it as a meal. Without the sauce, you would turn away, but with it, you find you can easily eat this distasteful meal.",Leo Tolstoy
Never listen to those who blame others and speak well about you.,Leo Tolstoy
"You have to think about what you say; only then will you feel quiet and kind and filled with love. The more you are irritated, the more excited you become, the more care you must exercise not to sin with your words by abusing others.",Leo Tolstoy
"Christ’s greatest words were said immediately before his death, when he forgave his persecutors, who did not understand what they did. The words and actions of a dying person have great power over people, and thus it is important both to live a good life and to die in a good way. A good death takes away the sins of a bad life.",Leo Tolstoy
"During the minutes of death, a person can see a candle, in the light of which he reads the book of a life filled with problems, lies, evils, and misfortunes. And, in the minutes of dying, this candle lights up all the world with a very bright and clear light, and brightens up all the corners of a person’s life, even those corners which were always covered with darkness; and then it makes some slight noise, and the light goes down and disappears forever.",Leo Tolstoy
"When you get ready to die, do not worry about the usual things, like following rituals or taking care of everyday business. Be prepared so that you can die in the best way possible. Use all the mighty influence of those powerful strong minutes of death, when a person exists partially in the other world, and his words and deeds have special power over those who remain in this world.",Leo Tolstoy
"Very often, all of the activity of the human mind is directed not in revealing the truth, but in hiding the truth. The potential of the human mind to act this way is our major source of temptation.",Leo Tolstoy
"The court jury has, as its raison d’âtre, the task of preserving society as it exists now, and therefore, it persecutes and executes those who stand higher than the general level of society, and it serves those who are lower than the general level.",Leo Tolstoy
"If you see that an action is explained by a very sophisticated reasoning, then you can be sure that this action is bad. The decisions of the conscience are always strict and simple.",Leo Tolstoy
"For the pagan world, a man’s richness indicates his glory and importance; in a truly Christian world, the great wealth of a man is an indication of his weakness and lies.",Leo Tolstoy
"The possession of great wealth is a school of pride, cruelty, self-admiration, and dissipation.",Leo Tolstoy
"You should not respect poor people too much, but you should take pity on them. A rich person should not be proud of his wealth; he should be ashamed of it.",Leo Tolstoy
Life is the understanding of a holy spirit in yourself; a holy spirit which is put into some limits.,Leo Tolstoy
"Under my feet, there is cold frozen earth; around me huge trees are standing; above my head is the foggy cold sky. I feel my body, I feel my mind occupied with various thoughts. And at the same time I know that all these things, all this frosted cold earth, and the trees, and the sky, and my body, and my thoughts, this is all created by chance, this is a temporary world, the creation of my five senses. The world created by me exists only because I am part of it, and therefore, I separate myself from the world. I know that I could die, but the world will not disappear.",Leo Tolstoy
"Death will make some changes in me, and while I will not be completely destroyed, I will become another being, separate from this world. Now, at present, I understand myself; then, something different altogether will happen to my inner self. And there can be a limitless number of such beings, which exist separately from this world.",Leo Tolstoy
Our life is our limited understanding of this eternal and limitless spirit which knows no constraints in time and space and which is not bound by any spatial or timely events.,Leo Tolstoy
The human conscience is a divine conscience.,Leo Tolstoy
"Our land, like our character, cannot be the object of buying and selling. Behind the buying and selling of earth is the hidden process of buying and selling a personality.",Leo Tolstoy
"A person in our society cannot sleep without paying for the place where he sleeps; he has the right to have free air or water or sunlight only when he is on the road. The only right he has is to walk along this road; until he becomes tired, or he cannot walk, he has to continue walking.",Leo Tolstoy
"People strive in this world, not for those things which are truly good, but for the possession of many things which they can call their property.",Leo Tolstoy
"A person who is not used to luxury, but who acquired luxury quite by chance, often pretends, in order to become more important in his own eyes and in the eyes of other people, that luxury is natural for him, that he is not surprised by it, that he neglects it. In the same way a stupid person pretends that he is bored with life, and that he can find something more interesting.",Leo Tolstoy
You must believe in the possibility of happiness in order to be happy.,Leo Tolstoy
"Take from a person who follows the divine law everything which other people think of as comfort and wealth, and nevertheless such a person will remain happy.",Leo Tolstoy
A person who has spoiled his stomach will criticize his meals saying that the food is bad; the same thing happens with people who are not satisfied with their lives in this world.,Leo Tolstoy
"We do not have the right to be unhappy with our life. If it seems to us that we are not satisfied with life, we should see this as a reason to be unsatisfied with ourselves.",Leo Tolstoy
Better to do nothing than to do harm.,Leo Tolstoy
"We often refuse to participate in the innocent joys of life because we are too busy with something we feel we have to do. We should accept these moments, because the sweet and joyful game is sometimes more important and necessary than most other things. Very often the business which busy people claim to be doing is not important at all, and sometimes it would be better left undone.",Leo Tolstoy
"Cruel people are busy all the time, as if to find justification for the cruelty of their dealings.",Leo Tolstoy
"It is a common misconception to think that pleasures and joys are unimportant and sometimes evil; as for example, Islam, or ancient old Orthodox Christianity, or Puritanism would have it. Pleasure is as important as work, and is the reward of work. Work cannot last endlessly, and the necessary rest should usually conclude with some period of pleasure.",Leo Tolstoy
"Pleasures are only bad in these three cases: when we have to make other people work for us because it is impossible for us to satisfy our desire for pleasures, when we plan competitive games to determine who will have the best or the most pleasures, and when pleasures are allowed only for selected people. But if these evils are avoided, then pleasure, especially for young people, is not an evil, but a good.",Leo Tolstoy
"Work and pleasure should be alternated, one after the other; they fill our lives with joy, though not every work and every pleasure can do this.",Leo Tolstoy
"No exterior force can make you humble. There is only one way to be humble: do not think about yourself, but about how you can serve God and others.",Leo Tolstoy
"Whether they know it or not, all creatures are inseparably connected.",Leo Tolstoy
Individual goodness and individual evil both have the power to spread goodness or evil throughout the world.,Leo Tolstoy
"Due to the current distortion, perversion, and false understanding of Christianity, our lives have become worse than those of pagans.",Leo Tolstoy
"A man should be a servant, and he should make a choice of whose servant he is: if he is the servant of his passions, then he is a servant of other human beings, but if he is the servant of his inner divine spirit, then he is a servant of God alone.",Leo Tolstoy
It is better to have a superior master.,Leo Tolstoy
"The more respect that different objects, customs, or laws are given, the more attentively you have to question the right these things have to this respect.",Leo Tolstoy
"Uprooting the existing evils of this life can begin only by making our religions open, so that every single human being in the world can reveal religious life and can discuss and create and discover religious truth.",Leo Tolstoy
"If we say that the outer world exists only as we see it, we deny that there are other beings, with senses different from our own.",Leo Tolstoy
"When I cast my gaze on objects, I try to correlate their outlines with ideas that already exist in my head. I will see white on the horizon, and I will think, There is a white church in the distance. Do we not give everything we see in this world a preexisting form from our imagination, brought by us from our previous life?",Leo Tolstoy
"In reality, the outer world in itself is not as we see it, and thus everything material in this world is insignificant. What is important then? That thing which exists everywhere, at all times, and for all people: the divine spark, the spiritual root of our lives.",Leo Tolstoy
An evil deed not only destroys the soul but often returns to bring evil on the evildoer.,Leo Tolstoy
"Sinning is as dangerous as irritating a wild beast. In most cases in this world, evil returns to the evildoer in the worst and rudest form.",Leo Tolstoy
Calmness and humility provide pleasures which are not accessible to the selfish and the proud.,Leo Tolstoy
"The prerequisite of a good life is peace between people, and the major obstacle to peace is pride. A person should be humble, prepared to be falsely accused, ready for everything; only then can he bring peace into his relationships and into the lives of others.",Leo Tolstoy
"Pride defends itself, and not only itself but other sins, and it hates humility, so it rejects the cure, and hides and justifies the sin. The understanding of sin has a positive influence on a person; it is even more useful than a good deed, which can increase pride.",Leo Tolstoy
Do not be afraid to be humiliated if you can accept this with humility—you will be repaid many times in the spiritual blessings which are connected with being humble.,Leo Tolstoy
Without truth there is no kindness; without kindness the truth cannot be told.,Leo Tolstoy
Disguising yourself as a kind person is worse than being nakedly mean.,Leo Tolstoy
